AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,label,sampling_rate
4095.4236,4095.3084,4095.5547,4098.8079,4095.4896,4090.0106,4097.3293,4094.9307,4095.1322,4096.4635,4096.9292,4100.6542,4098.6265,4096.442,relax,128
4111.5735,4108.245,4114.03,4116.0658,4108.0238,4106.6908,4107.7611,4099.8198,4105.867,4109.8186,4114.3151,4112.0822,4113.81,4115.5197,relax,
4121.6578,4111.3721,4118.9992,4107.9647,4099.9384,4107.0895,4104.0516,4111.2188,4112.1741,4105.5419,4117.4122,4112.7174,4115.4801,4117.3528,relax,
4106.4584,4108.0752,4107.7544,4105.4002,4105.0003,4103.9144,4098.6925,4098.3309,4100.1206,4104.3978,4103.0001,4114.5437,4101.5235,4101.6053,relax,
4091.8808,4095.3575,4091.4051,4093.5888,4097.1018,4091.308,4086.5678,4090.1313,4095.4957,4085.6217,4090.3797,4090.3953,4088.4077,4091.7015,relax,
4084.2448,4092.8967,4085.5278,4082.2997,4084.7427,4084.2267,4092.4884,4086.4119,4087.272,4089.9871,4081.8435,4081.8733,4076.2459,4077.5918,relax,
4087.9199,4092.551,4095.4296,4091.2788,4093.3276,4093.1864,4097.3182,4096.5527,4093.6093,4088.2384,4094.9662,4092.1798,4095.7957,4090.0712,relax,
4112.1639,4101.9138,4110.0556,4103.1417,4099.2799,4096.4971,4099.7387,4106.0361,4104.2764,4104.1005,4093.1777,4106.5273,4105.5728,4102.1518,relax,
4107.2323,4108.0836,4115.542,4102.7731,4103.0836,4109.6923,4101.3612,4101.6888,4104.6362,4099.8296,4107.8733,4103.804,4111.6336,4109.7546,relax,
4108.9539,4100.4852,4104.9774,4093.8431,4097.9564,4099.5847,4104.9694,4091.2628,4102.2546,4100.8104,4105.1904,4102.3641,4099.5701,4097.7336,relax,
4077.3726,4084.7832,4082.6893,4093.1734,4084.8297,4089.1008,4082.634,4087.3281,4088.8638,4090.5697,4090.8847,4083.2795,4079.5325,4084.1968,relax,
4074.8531,4077.5376,4071.8412,4081.9617,4081.4941,4084.8704,4089.0246,4086.3654,4083.2172,4089.7537,4078.403,4073.4585,4076.0188,4078.7163,relax,
4080.9321,4084.3999,4086.4836,4081.5143,4079.1463,4087.872,4088.8367,4085.4857,4090.1587,4088.4829,4079.5858,4083.7735,4081.5379,4074.5251,relax,
4102.0455,4099.5448,4096.9139,4101.4787,4100.6619,4096.2301,4099.8029,4102.2618,4095.6896,4100.2331,4099.398,4108.959,4092.2764,4103.0148,relax,
4115.4446,4113.7885,4122.6224,4112.5014,4118.1923,4106.6332,4108.1502,4104.7848,4105.639,4109.4785,4111.4054,4115.826,4105.7691,4124.6795,relax,
4116.5928,4121.6811,4111.5315,4114.1788,4122.2667,4105.2776,4101.0744,4104.8696,4110.6464,4112.3803,4118.1701,4114.5319,4108.3005,4115.5207,relax,
4107.9921,4104.0502,4094.641,4101.4848,4106.0927,4108.7249,4101.903,4100.8935,4095.2579,4097.127,4101.8127,4104.4815,4104.5082,4101.1184,relax,
4082.5984,4085.1503,4083.2818,4091.5386,4081.1228,4089.3906,4093.2267,4097.5153,4091.0089,4094.3771,4087.3689,4084.9321,4085.5639,4093.3155,relax,
4087.2644,4086.7626,4097.6255,4085.7006,4090.3454,4089.6028,4088.5019,4098.6542,4094.3989,4082.2661,4084.2306,4086.0178,4087.9457,4077.8937,relax,
4084.1681,4085.9021,4093.1307,4093.3395,4095.5827,4091.2355,4089.6421,4086.4468,4095.631,4095.6821,4097.7243,4096.5783,4092.7647,4098.5874,relax,
4105.3949,4102.1042,4103.0628,4101.613,4093.6989,4102.5895,4102.1685,4099.7199,4099.1088,4103.849,4110.8198,4105.2981,4102.717,4103.5746,relax,
4107.6822,4101.4668,4106.5033,4105.8137,4111.0339,4106.9506,4106.356,4099.368,4105.8564,4099.0977,4106.8168,4108.6793,4103.4602,4115.9587,relax,
4097.9325,4088.0925,4097.9014,4094.1007,4095.7898,4097.6608,4097.3869,4087.6681,4091.1645,4098.8748,4100.9352,4103.3025,4102.9161,4087.4408,relax,
