concentration,label,sampling_rate
63.58,concentrated,1
63.12,concentrated,
64.31,concentrated,
63.89,concentrated,
64.87,concentrated,
65.82,concentrated,
66.54,concentrated,
67.04,concentrated,
69.60,concentrated,
70.03,concentrated,
69.65,concentrated,
70.43,concentrated,
71.60,concentrated,
72.02,concentrated,
72.23,concentrated,
72.71,concentrated,
72.79,concentrated,
73.89,concentrated,
73.51,concentrated,
73.82,concentrated,
75.08,concentrated,
73.03,concentrated,
74.09,concentrated,
73.11,concentrated,
73.78,concentrated,
73.00,concentrated,
73.43,concentrated,
72.20,concentrated,
72.69,concentrated,
70.38,concentrated,
70.28,concentrated,
72.60,concentrated,
77.46,concentrated,
80.74,concentrated,
75.46,concentrated,
75.82,concentrated,
78.87,concentrated,
12.15,relaxed,
8.41,relaxed,
2.83,relaxed,
4.58,relaxed,
11.03,relaxed,
9.87,relaxed,
3.95,relaxed,
4.60,relaxed,
4.08,relaxed,
14.13,relaxed,
2.39,relaxed,
3.53,relaxed,
3.41,relaxed,
1.62,relaxed,
9.14,relaxed,
6.51,relaxed,
13.72,relaxed,
6.65,relaxed,
7.36,relaxed,
0.00,relaxed,
5.77,relaxed,
3.96,relaxed,
0.00,relaxed,
2.70,relaxed,
2.50,relaxed,
0.00,relaxed,
10.10,relaxed,
3.13,relaxed,
4.33,relaxed,
0.00,relaxed,
3.90,relaxed,
0.00,relaxed,
7.75,relaxed,
0.48,relaxed,
1.81,relaxed,
6.39,relaxed,
1.10,relaxed,
5.26,relaxed,
0.79,relaxed,
5.16,relaxed,
0.47,relaxed,
6.38,relaxed,
2.09,relaxed,
4.03,relaxed,
4.26,relaxed,
0.01,relaxed,
5.16,relaxed,
5.28,relaxed,
7.19,relaxed,
4.11,relaxed,
0.00,relaxed,
3.15,relaxed,
0.94,relaxed,
0.70,relaxed,
6.67,relaxed,
1.77,relaxed,
0.00,relaxed,
0.00,relaxed,
2.69,relaxed,
77.83,concentrated,
82.21,concentrated,
81.77,concentrated,
83.60,concentrated,
85.20,concentrated,
86.36,concentrated,
87.71,concentrated,
88.66,concentrated,
89.59,concentrated,
90.88,concentrated,
90.98,concentrated,
91.20,concentrated,
91.02,concentrated,
91.14,concentrated,
91.08,concentrated,
90.40,concentrated,
91.00,concentrated,
91.26,concentrated,
90.33,concentrated,
90.44,concentrated,
92.26,concentrated,
91.85,concentrated,
68.65,concentrated,
65.70,concentrated,
66.77,concentrated,
66.29,concentrated,
65.44,concentrated,
66.33,concentrated,
66.99,concentrated,
70.59,concentrated,
70.54,concentrated,
70.67,concentrated,
69.41,concentrated,
70.20,concentrated,
69.56,concentrated,
68.22,concentrated,
71.46,concentrated,
28.92,relaxed,
23.03,relaxed,
30.20,relaxed,
33.01,relaxed,
23.93,relaxed,
18.90,relaxed,
27.16,relaxed,
21.64,relaxed,
28.14,relaxed,
25.53,relaxed,
23.06,relaxed,
31.24,relaxed,
33.00,relaxed,
29.04,relaxed,
28.71,relaxed,
27.25,relaxed,
32.48,relaxed,
32.84,relaxed,
47.80,relaxed,
36.74,relaxed,
28.12,relaxed,
24.50,relaxed,
31.76,relaxed,
33.19,relaxed,
32.89,relaxed,
32.61,relaxed,
24.62,relaxed,
26.92,relaxed,
25.00,relaxed,
31.11,relaxed,
29.15,relaxed,
27.36,relaxed,
26.24,relaxed,
24.20,relaxed,
25.43,relaxed,
28.96,relaxed,
26.77,relaxed,
29.29,relaxed,
23.82,relaxed,
27.98,relaxed,
26.71,relaxed,
33.17,relaxed,
25.18,relaxed,
24.56,relaxed,
28.73,relaxed,
31.76,relaxed,
27.01,relaxed,
29.20,relaxed,
28.81,relaxed,
23.11,relaxed,
35.76,relaxed,
34.46,relaxed,
22.43,relaxed,
31.05,relaxed,
34.82,relaxed,
38.06,relaxed,
30.93,relaxed,
36.96,relaxed,
27.92,relaxed,
72.35,concentrated,
71.24,concentrated,
73.43,concentrated,
78.89,concentrated,
99.00,concentrated,
99.00,concentrated,
99.00,concentrated,
99.00,concentrated,
87.72,concentrated,
90.43,concentrated,
86.80,concentrated,
87.50,concentrated,
85.55,concentrated,
86.94,concentrated,
92.02,concentrated,
94.52,concentrated,
95.38,concentrated,
99.00,concentrated,
98.02,concentrated,
99.00,concentrated,
99.00,concentrated,
97.54,concentrated,
99.00,concentrated,
99.00,concentrated,
99.00,concentrated,
99.00,concentrated,
99.00,concentrated,
98.65,concentrated,
95.43,concentrated,
95.33,concentrated,
95.01,concentrated,
97.27,concentrated,
99.00,concentrated,
94.50,concentrated,
93.22,concentrated,
92.76,concentrated,
96.90,concentrated,
