concentration,label,sampling_rate
86.40,concentrated,1
88.13,concentrated,
94.21,concentrated,
92.64,concentrated,
86.37,concentrated,
82.05,concentrated,
93.18,concentrated,
92.37,concentrated,
86.41,concentrated,
92.93,concentrated,
94.45,concentrated,
99.00,concentrated,
99.00,concentrated,
90.33,concentrated,
92.17,concentrated,
92.02,concentrated,
84.59,concentrated,
89.47,concentrated,
93.78,concentrated,
95.32,concentrated,
98.15,concentrated,
92.30,concentrated,
92.13,concentrated,
85.76,concentrated,
99.00,concentrated,
99.00,concentrated,
96.08,concentrated,
99.00,concentrated,
96.20,concentrated,
0.31,relaxed,
6.99,relaxed,
1.06,relaxed,
4.19,relaxed,
5.97,relaxed,
6.69,relaxed,
5.48,relaxed,
1.08,relaxed,
0.00,relaxed,
2.82,relaxed,
3.81,relaxed,
5.27,relaxed,
2.04,relaxed,
10.63,relaxed,
6.71,relaxed,
7.90,relaxed,
6.97,relaxed,
5.92,relaxed,
3.20,relaxed,
3.73,relaxed,
11.89,relaxed,
10.29,relaxed,
1.89,relaxed,
0.00,relaxed,
0.05,relaxed,
0.80,relaxed,
1.98,relaxed,
4.55,relaxed,
5.70,relaxed,
0.00,relaxed,
8.27,relaxed,
8.29,relaxed,
0.00,relaxed,
7.31,relaxed,
4.83,relaxed,
4.62,relaxed,
10.03,relaxed,
7.56,relaxed,
9.48,relaxed,
5.45,relaxed,
10.68,relaxed,
4.80,relaxed,
8.36,relaxed,
4.04,relaxed,
6.06,relaxed,
8.01,relaxed,
0.00,relaxed,
8.98,relaxed,
8.60,relaxed,
0.00,relaxed,
94.97,concentrated,
89.91,concentrated,
88.16,concentrated,
85.77,concentrated,
91.49,concentrated,
96.61,concentrated,
98.97,concentrated,
93.88,concentrated,
87.11,concentrated,
98.89,concentrated,
99.00,concentrated,
79.52,concentrated,
78.07,concentrated,
87.25,concentrated,
92.54,concentrated,
89.07,concentrated,
93.85,concentrated,
94.73,concentrated,
93.43,concentrated,
96.95,concentrated,
99.00,concentrated,
99.00,concentrated,
95.74,concentrated,
92.15,concentrated,
98.74,concentrated,
86.50,concentrated,
95.23,concentrated,
94.73,concentrated,
98.66,concentrated,
1.67,relaxed,
14.98,relaxed,
13.12,relaxed,
5.40,relaxed,
11.37,relaxed,
6.23,relaxed,
6.45,relaxed,
4.81,relaxed,
11.07,relaxed,
13.21,relaxed,
15.78,relaxed,
6.30,relaxed,
13.99,relaxed,
12.48,relaxed,
16.36,relaxed,
20.72,relaxed,
10.69,relaxed,
30.14,relaxed,
17.28,relaxed,
23.93,relaxed,
20.74,relaxed,
1.17,relaxed,
4.23,relaxed,
6.42,relaxed,
14.03,relaxed,
11.44,relaxed,
18.12,relaxed,
15.28,relaxed,
17.74,relaxed,
17.35,relaxed,
22.19,relaxed,
13.93,relaxed,
12.53,relaxed,
22.09,relaxed,
30.22,relaxed,
24.99,relaxed,
17.66,relaxed,
17.42,relaxed,
21.92,relaxed,
17.14,relaxed,
19.08,relaxed,
30.73,relaxed,
3.67,relaxed,
13.45,relaxed,
10.90,relaxed,
14.42,relaxed,
8.84,relaxed,
15.52,relaxed,
36.34,relaxed,
19.49,relaxed,
95.51,concentrated,
96.38,concentrated,
93.29,concentrated,
94.57,concentrated,
86.79,concentrated,
90.12,concentrated,
94.64,concentrated,
97.59,concentrated,
97.37,concentrated,
95.72,concentrated,
91.87,concentrated,
88.84,concentrated,
90.31,concentrated,
99.00,concentrated,
97.81,concentrated,
97.94,concentrated,
97.91,concentrated,
93.21,concentrated,
90.05,concentrated,
93.27,concentrated,
92.97,concentrated,
97.18,concentrated,
96.58,concentrated,
93.63,concentrated,
91.97,concentrated,
92.31,concentrated,
95.31,concentrated,
96.88,concentrated,
97.62,concentrated,
99.00,concentrated,
